Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_13,0,1,RF,0.366308890577508,0.239257368846268,0.366915759064077,0.366308890577508,0.306093827505102,0.341587167369738,8.559928894042969,1.60055422782898,0.20199275016784668
sult_13,1,2,RF,0.356667933130699,0.229878740970294,0.35936736270565,0.356667933130699,0.296694734216106,0.331364353831919,9.099066972732544,1.709777593612671,0.20946359634399414
sult_13,2,3,RF,0.363506838905775,0.234262618179261,0.3650659942619,0.363506838905775,0.303625674794804,0.338693772636234,8.811556339263916,1.631019115447998,0.2205979824066162
sult_13,3,4,RF,0.36141717325228,0.23239705128767,0.362124779893668,0.36141717325228,0.301215967084025,0.336296912429035,8.574050664901733,1.513638257980347,0.19390583038330078
sult_13,4,5,RF,0.356240501519757,0.230193861011602,0.358619887156535,0.356240501519757,0.296429661837322,0.330811388888552,8.61013913154602,1.530205965042114,0.19539666175842285
sult_13,5,6,RF,0.357665273556231,0.228440544643812,0.359208398665125,0.357665273556231,0.296745824346208,0.332196249017479,8.620730638504028,1.539523601531982,0.19455242156982422
sult_13,6,7,RF,0.362746960486322,0.235105782647796,0.373772942913886,0.362746960486322,0.30281668839572,0.3378129161918,8.612009525299072,1.543121099472046,0.19248008728027344
sult_13,7,8,RF,0.357617781155015,0.231163374947549,0.350060200173183,0.357617781155015,0.29696495396367,0.33226607082015,8.672001838684082,1.542055606842041,0.20034360885620117
sult_13,8,9,RF,0.360704787234043,0.230638452199122,0.364899566556062,0.360704787234043,0.300195199062835,0.335605411856371,8.930373668670654,1.515814304351807,0.19252753257751465
sult_13,9,10,RF,0.358567629179331,0.230552863084275,0.349870280076106,0.358567629179331,0.29731008426617,0.333354127850319,8.608123302459717,1.50846791267395,0.1923050880432129
